  0. -1.69158744  0. -1.69158744
  0.100000001 -1.69158826  0.0314105041 -1.72299876
  0.200000003 -1.69159439  0.128912732 -1.82050712
  0.300000012 -1.69162963  0.297815442 -1.98944507
  0.400000006 -1.69166651  0.51556015 -2.20722666
  0.5 -1.69162284  0.672572076 -2.36419492
  0.600000024 -1.69178411  0.706613004 -2.39839711
  0.699999988 -1.69174963  0.725608051 -2.41735768
  0.800000012 -1.6918971  0.815521419 -2.50741852
  0.900000036 -1.69134686  0.974607527 -2.66595439
  1. -1.69175702  1.15536511 -2.84712213
  1.10000002 -1.6917664  1.1610831 -2.8528495
  1.20000005 -1.69176446  0.942574859 -2.63433931
  1.30000007 -1.69175995  0.745413423 -2.43717338
  1.39999998 -1.69165303  0.573289573 -2.2649426
  1.5 -1.69176884  0.388472646 -2.08024149
  1.60000002 -1.69173281  0.253041863 -1.94477467
  1.70000005 -1.69172735  0.196216658 -1.887944
  1.80000007 -1.6917384  0.208448142 -1.90018654
  1.89999998 -1.69175315  0.264008045 -1.95576119
  2. -1.69171399  0.305240214 -1.9969542
  2.10000014 -1.6917685  0.289884448 -1.98165295
  2.20000005 -1.69175824  0.268796831 -1.96055507
  2.29999995 -1.69175025  0.300858408 -1.99260866
  2.4000001 -1.69176046  0.413629293 -2.10538976
  2.5 -1.6917786  0.61617291 -2.30795151
  2.60000014 -1.69183134  0.88933897 -2.58117031
  2.70000005 -1.69184765  1.21356177 -2.90540942
  2.79999995 -1.69178918  1.43213034 -3.12391951
  2.9000001 -1.6919019  1.18303871 -2.87494061
  3. -1.69188779  0.853642106 -2.5455299
  3.10000014 -1.69182236  0.651512861 -2.34333522
  3.20000005 -1.69182109  0.55763191 -2.249453
  3.29999995 -1.69181718  0.510351717 -2.2021689
  3.4000001 -1.6918254  0.454277605 -2.146103
  3.5 -1.69184777  0.380471945 -2.07231971
  3.60000014 -1.69186038  0.321522087 -2.01338247
  3.70000005 -1.691819  0.278514415 -1.97033342
  3.79999995 -1.69185024  0.233100072 -1.92495032
  3.9000001 -1.69184325  0.203695938 -1.89553919
  4. -1.69184716  0.201341927 -1.89318908
  4.0999999 -1.69184284  0.224751651 -1.91659449
  4.20000029 -1.69184741  0.270767212 -1.96261462
  4.30000019 -1.69185038  0.34523958 -2.03708996
  4.4000001 -1.69186166  0.457921267 -2.14978293
  4.5 -1.69184788  0.606682599 -2.29853048
  4.5999999 -1.69187262  0.785693824 -2.47756644
  4.70000029 -1.6919165  1.0267601 -2.7186766
  4.80000019 -1.69192645  1.35108972 -3.04301616
  4.9000001 -1.69190173  1.60975647 -3.3016582
  5. -1.69196897  1.45529151 -3.14726048
  5.0999999 -1.69153125  1.1656996 -2.85723085
  5.20000029 -1.69146224  0.938982368 -2.63044461
  5.30000019 -1.69149853  0.778711498 -2.47021003
  5.4000001 -1.69148102  0.706353903 -2.39783493
  5.5 -1.69162499  0.692424834 -2.38404983
  5.5999999 -1.69165212  0.743596971 -2.43524909
  5.70000029 -1.69177901  0.796844482 -2.48862349
  5.80000019 -1.69098649  0.809061706 -2.5000482
  5.9000001 -1.69140238  0.767132103 -2.45853449
  6. -1.69133486  0.740725994 -2.43206085
  6.0999999 -1.69139958  0.669411302 -2.36081088
  6.20000029 -1.6914183  0.555505395 -2.2469237
  6.30000019 -1.69141709  0.490200281 -2.18161737
  6.4000001 -1.69141634  0.514466882 -2.20588322
  6.5 -1.69142533  0.635003805 -2.32642913
  6.5999999 -1.69146489  0.843978405 -2.5354433
  6.70000029 -1.69172304  1.12788439 -2.81960743
  6.80000019 -1.69140992  1.35498369 -3.04639361
  6.9000001 -1.68980215  1.29372668 -2.98352884
  7. -1.68936333  0.985840619 -2.67520395
  7.0999999 -1.68936227  0.710486889 -2.39984916
  7.20000029 -1.68932738  0.518828332 -2.20815571
  7.30000019 -1.68932857  0.372608572 -2.06193714
  7.4000001 -1.68933493  0.249136016 -1.93847094
  7.5 -1.68932979  0.155907124 -1.84523691
  7.5999999 -1.68932661  0.101178057 -1.79050467
  7.70000029 -1.6893253  0.0882354528 -1.77756076
  7.80000019 -1.68932521  0.120062783 -1.809388
  7.9000001 -1.68932775  0.20261471 -1.89194246
  8. -1.68934306  0.345223904 -2.03456696
  8.10000038 -1.68938338  0.550593615 -2.23997699
