  0. -7.86251305  0. -7.86251305
  0.100000001 -7.86251325  0.054530248 -7.9170435
  0.200000003 -7.86251448  0.222577974 -8.08509245
  0.300000012 -7.86251955  0.517153919 -8.37967347
  0.400000006 -7.86253553  0.956469893 -8.81900542
  0.5 -7.86255254  1.55030811 -9.41286065
  0.600000024 -7.86264196  2.28167081 -10.1443128
  0.699999988 -7.86278288  3.09626794 -10.9590508
  0.800000012 -7.8627633  3.85320115 -11.7159644
  0.900000036 -7.86229795  4.56140709 -12.423705
  1. -7.86353535  5.38861084 -13.2521462
  1.10000002 -7.86351014  6.31356144 -14.1770716
  1.20000005 -7.86354639  7.00422573 -14.8677721
  1.30000007 -7.8635353  7.27895975 -15.142495
  1.39999998 -7.86349887  7.59996462 -15.4634635
  1.5 -7.86382938  8.21059513 -16.0744245
  1.60000002 -7.86621064  9.07833767 -16.9445483
  1.70000005 -7.86628075  10.1606264 -18.0269072
  1.80000007 -7.86620271  11.4301634 -19.2963661
  1.89999998 -7.86621218  12.0492973 -19.9155095
  2. -7.86620893  12.1523695 -20.0185784
  2.10000014 -7.86626717  12.5769444 -20.4432115
  2.20000005 -7.86625292  13.6991434 -21.5653963
  2.29999995 -7.86635931  15.4154453 -23.2818046
  2.4000001 -7.86626342  17.4906998 -25.3569632
  2.5 -7.86622203  18.4524574 -26.3186795
  2.60000014 -7.86684384  18.0340672 -25.900911
  2.70000005 -7.86672529  17.8597622 -25.7264875
  2.79999995 -7.86693794  18.7314053 -26.5983432
  2.9000001 -7.86652843  20.0590363 -27.9255647
  3. -7.86752531  19.7595539 -27.6270792
  3.10000014 -7.86780187  19.029026 -26.8968279
  3.20000005 -7.8677972  18.2063885 -26.0741857
  3.29999995 -7.86851616  16.774765 -24.6432812
  3.4000001 -7.86827314  15.5127029 -23.3809761
  3.5 -7.86770053  13.9892492 -21.8569498
  3.60000014 -7.8677237  12.3432617 -20.2109854
  3.70000005 -7.86766351  10.9806557 -18.8483192
  3.79999995 -7.86773879  9.82133961 -17.6890784
  3.9000001 -7.86772192  8.96108913 -16.8288111
  4. -7.86764827  8.61021137 -16.4778596
  4.0999999 -7.8676466  8.78762531 -16.6552719
  4.20000029 -7.86775967  9.16982841 -17.0375881
  4.30000019 -7.86784604  9.9536171 -17.8214631
  4.4000001 -7.86779935  10.6995173 -18.5673166
  4.5 -7.86790239  10.724782 -18.5926844
  4.5999999 -7.86790666  11.1346827 -19.0025893
  4.70000029 -7.8674201  11.896636 -19.7640561
  4.80000019 -7.86806202  11.6711082 -19.5391703
  4.9000001 -7.8676562  11.297142 -19.1647982
  5. -7.87434383  10.0776939 -17.9520378
  5.0999999 -7.86928706  9.21769905 -17.0869861
  5.20000029 -7.86934032  8.47153664 -16.340877
  5.30000019 -7.86935505  7.72052622 -15.5898813
  5.4000001 -7.86933624  7.17754459 -15.0468808
  5.5 -7.86933796  6.90692329 -14.7762613
  5.5999999 -7.869302  6.81306744 -14.6823694
  5.70000029 -7.86974929  6.85142231 -14.7211716
  5.80000019 -7.86980955  7.19221592 -15.0620255
  5.9000001 -7.86963455  7.90938711 -15.7790217
  6. -7.86941817  8.74976158 -16.6191798
  6.0999999 -7.86947448  9.25909138 -17.1285659
  6.20000029 -7.86947246  9.58491707 -17.4543895
  6.30000019 -7.86926198  10.2231874 -18.0924494
  6.4000001 -7.86945676  11.6039209 -19.4733777
  6.5 -7.87651366  13.351552 -21.2280657
  6.5999999 -7.87951772  14.6346779 -22.5141956
  6.70000029 -7.87933566  15.1504736 -23.0298093
  6.80000019 -7.87973121  15.135767 -23.0154982
  6.9000001 -7.87905019  14.9642334 -22.8432836
  7. -7.87871328  14.1336622 -22.0123755
  7.0999999 -7.87845678  12.3810701 -20.2595269
  7.20000029 -7.87831491  10.7931137 -18.6714286
  7.30000019 -7.87827041  9.67513657 -17.553407
  7.4000001 -7.87826913  9.08909225 -16.9673614
  7.5 -7.87817045  8.77400398 -16.6521744
  7.5999999 -7.87823548  8.54350567 -16.4217412
  7.70000029 -7.87828983  8.39279747 -16.2710873
  7.80000019 -7.87827357  8.21515656 -16.0934301
  7.9000001 -7.87828131  8.15815163 -16.0364329
  8. -7.8783073  8.33007717 -16.2083845
  8.10000038 -7.87825017  8.75317001 -16.6314202
