  0. -18.6644346  0. -18.6644346
  0.100000001 -18.6644346  0.242372781 -18.9068074
  0.200000003 -18.664435  1.00407588 -19.6685108
  0.300000012 -18.6644818  2.39479804 -21.0592798
  0.400000006 -18.6648038  4.59734678 -23.2621505
  0.5 -18.6648412  7.70370579 -26.3685469
  0.600000024 -18.6647875  11.2622461 -29.9270337
  0.699999988 -18.664811  15.5809097 -34.2457208
  0.800000012 -18.6644695  22.4195061 -41.0839756
  0.900000036 -18.665899  30.1286716 -48.7945706
  1. -18.6656944  39.7819824 -58.4476769
  1.10000002 -18.6762536  49.2100296 -67.8862832
  1.20000005 -18.6761893  56.3351707 -75.01136
  1.30000007 -18.6766769  58.9379768 -77.6146538
  1.39999998 -18.6772448  59.099968 -77.7772127
  1.5 -18.6757306  47.082756 -65.7584866
  1.60000002 -18.6755837  36.174057 -54.8496407
  1.70000005 -18.6755336  28.1496906 -46.8252242
  1.80000007 -18.6756714  23.6493416 -42.325013
  1.89999998 -18.6758641  21.7135658 -40.3894299
  2. -18.6763621  20.3911858 -39.0675479
  2.10000014 -18.6756858  19.2937737 -37.9694594
